Polish,English
przecież,yet
dom,house
poza,apart from
zamknij,close
byłeś,you were
lubię,I like
oh,oh
żadnych,none
pomocy,Help
prawie,almost
gdzieś,somewhere
porozmawiać,talk
wcześniej,before
podoba,I like it
zrobię,I will
czekaj,Wait
dość,enough
twojego,yours
lub,or
moich,mine
razy,times
znasz,you know
mały,small
ciągle,all the time
jakby,as if
wydaje,spends
mama,mother
powinniśmy,we should
jeżeli,if
jack,jack
powinieneś,you should
innego,another
sprawy,matters
rozumiesz,You understand
trzymaj,hold
końcu,finally
powodu,reason
jedno,one thing
pamiętasz,you remember
pomysł,idea
noc,night
pewien,a
którą,which
wiemy,we know
bądź,or
żebym,so that
numer,number
oczy,Eyes
lata,years
dwie,two
miejscu,place
dokąd,where
och,oh
pokoju,peace
chodźmy,let's go
ojca,father
weź,take it
idę,I'm going
samochód,car
nowy,new
jednak,But
świat,world
źle,Badly
którego,whose
niczego,nothing
oto,here
dwóch,two
sprawa,thing
swój,your
idzie,goes
takim,like this
jedną,one
wystarczy,enough
byłam,I was
rano,in the morning
nimi,them
halo,Hello
byś,you would
życiu,life
całe,whole
wiedziałem,I knew
swojego,your own
śmierć,death
ręce,hands
musiał,he had to
którym,which
całą,whole
chcą,they want
da,yes
właściwie,actually
zrób,do
panowie,gentlemen
skoro,since
drogi,Dear
czujesz,you feel
dam,I'll give it
pozwól,let me
wyglądasz,you look
jednego,one
jedna,one
mówił,he spoke
których,which
świecie,world
patrz,Look
nikogo,nobody
byli,they were
pytanie,question
swoim,your own
której,which one
powinienem,I should
jezu,Jesus
dać,to give
rzecz,thing
powiedziała,she said
powiedziałeś,You said
najpierw,firstly
sądzę,I think so
prawo,law
matka,mother
widzieć,see
dr,Dr
telefon,phone
podczas,while
wczoraj,Yesterday
śmierci,death
pracę,work
pamiętam,I remember
uważaj,be careful
parę,a couple
wrócić,come back
diabła,devil
the,the
robię,I do
zrobiłem,I did
kobiety,women
poważnie,seriously
miejsca,places
znów,again
cholery,damn
zrobiłeś,you did
sprawę,matter
zaczekaj,Wait
powiesz,you say
rób,do
natychmiast,immediately
dziewczyna,girl
również,also
działa,works
słyszałem,I heard
pięć,five
super,great
swoich,their own
mówią,they say
witam,Hello
całkiem,quite
cokolwiek,whatever
witaj,Hello
gdybym,if
żona,wife
prawdę,the truth
zostaw,leave
bóg,God
wierzę,I believe
szybciej,faster
nieźle,not bad
wielu,many
inaczej,otherwise
gra,game
dopiero,only
wcale,at all
pieniędzy,money
pójdę,I'll go
godziny,hours
wiedział,he knew
udało,it worked
człowieka,man
stać,be
wina,fault
wiecie,you know
swojej,yours
poznać,to get to know
inne,other
jednym,one
myślałam,I thought
miałam,I had
chwili,moment
innych,others
dopóki,until
nowa,new
kobieta,woman
nowego,new
miłość,love
ziemi,earth
inny,other
przynajmniej,at least
nasza,our
ważne,important
wiadomość,message
dolarów,dollars
słowa,words
słucham,I'm listening
naszych,ours
naszej,ours
między,between
dostać,to receive
czasem,sometimes
chciałam,I wanted to
jaką,what
gówno,shit
brzmi,sounds
chcemy,we want
każdego,everyone
raczej,rather
możliwe,That's possible
każdym,every
widziałeś,you saw
dawaj,come on
nazywa,calls
powinien,should
zabrać,take away
dziewczyny,girls
miałeś,you had
chłopaki,guys
doktorze,doctor
potrzebuje,I need
zgadza,that's right
zrobimy,we will do it
godzin,hours
ostatni,last
wieczór,evening
świata,world
serce,heart
martw,dead
wielki,great
powrotem,back
żyć,lives
one,they
plan,plan
pl,pl
byłoby,it would be
potrzebujemy,we need
dobranoc,Good night
żadnego,none
kapitanie,Captain
zobaczenia,see you soon
możecie,you can
wspaniale,excellent
ogóle,in general
także,too
pół,half
idziesz,you're going
takich,such
pojęcia,concepts
twoich,yours
czymś,something
cztery,four
skarbie,Honey
tata,dad
naszego,ours
panią,Mrs
wybacz,Sorry
chcecie,you want
zrobisz,you will
pokój,room
poczekaj,Wait
uda,thighs
głowy,head
szczęście,luck
wyjść,go out
robota,job
naszym,ours
syn,son
gotowy,ready
cieszę,I'm glad
głowę,head
rozmawiać,to talk
krwi,blood
wszystkiego,all
zabił,killed
czasie,time
ciało,body
należy,should
dziwne,Weird
została,she stayed
przeciwko,against
ruszaj,move
cała,whole
strony,pages
jaka,what
mógłbym,I could
oznacza,means
pomoc,help
taką,like this
zostało,left
miasta,city
tłumaczenie,translation
końca,end
zostanie,will stay
policja,Police
mieli,they had
pewna,sure
obchodzi,cares
ode,ode
syna,son
czasami,Sometimes
twarz,face
rok,year
mieliśmy,we had
lecz,but
ostatnio,lately
uwierzyć,believe
daleko,far
rodziny,family
mogłem,I could
lubisz,you like
blisko,close
zły,bad
środku,middle
boga,god
byliśmy,we were
drodze,road
szkoły,schools
czeka,waiting
słowo,word
radę,advice
człowiekiem,human
mogła,she could
brat,brother
mała,small
krew,blood
najbardziej,the most
wejść,come in
zewnątrz,outside
mąż,husband
robimy,we do
słyszysz,you hear?
kimś,someone
część,Hi
wieczorem,In the evening
widziałam,I saw
zna,knows
wody,water
moi,my
potrzebujesz,you need
lubi,likes
wracaj,come back
rękę,hand
tydzień,week
frank,franc
wrócę,I'll be back
innym,others
wypadek,accident
mówiłeś,you said
stronie,website
mógłbyś,you could
sprawie,case
zobaczymy,We'll see
wziąć,to take
gdybyś,if
naszą,our
nazywam,I call
późno,late
zależy,depends
człowieku,man
góry,mountains
pomóż,help
jechać,to go
pokaż,show
ciężko,hard
napisów,subtitles
serio,seriously
roboty,robots
zrobi,will do
mniej,less
broni,weapons
kiedykolwiek,whenever
temat,topic
mało,little
popatrz,look
charlie,Charlie
prawa,laws
miesięcy,months
pójść,go
koleś,dude
jedziemy,let's go
wkrótce,soon
nowe,new
pierwsze,first
nazwisko,last name
miasto,city
racja,right
leci,it's flying
zostań,stay
stronę,page
nieważne,Never mind
chciała,she wanted
chłopak,boy
zdjęcia,photos
znalazłem,I found
powinno,it should
robią,they do
powinnaś,you should
statek,ship
zostały,they stayed
wszędzie,everywhere
prosto,straight
wielkie,great
dół,hole
zupełnie,quite
tędy,this way
spotkanie,meeting
małe,small
ponad,above
według,According to
widział,he saw
mówiąc,speaking
drogę,road
doktor,doctor
praca,Work
drugi,second
byłaś,you were
górę,up
wiedzą,knowledge
mieście,city
jakoś,somehow
film,movie
czyli,That is
chociaż,though
kłopoty,troubles
droga,way
samochodu,car
szansę,chance
zatrzymać,stop
niemożliwe,impossible
spać,to sleep
chłopcy,boys
mógłby,could
wasza,yours
sądzisz,you think
przyjaciel,friend
michael,michael
tymi,these
złe,Badly
mogli,they could
synu,son
powiedziałam,I said
szkoda,Pity
całym,whole
żaden,no
taa,yeah
trzech,three
wami,you
pracuje,He's working
faceta,guy
sprawdzić,to check
pogadać,talk
serca,hearts
you,you
kraju,country
dał,distance
trudno,difficult
drugiej,second
zaczyna,begins
brak,lack
choć,though
powinnam,I should
ruszać,move
chciałabym,I would like to
cicho,quiet
samego,alone
dziewczynę,girl
godzinę,an hour
piękna,Beautiful
jakąś,some
tom,volume
www,www
widzenia,goodbye
spotkać,meet
pracować,work
żadnej,none
pa,bye
spróbuj,try
znać,know
ciała,body
przyjaciół,friends
razu,right away
zapomnij,forget it
harry,harry
najlepszy,best
ostatnie,last
policji,police
otwórz,open
problemy,problems
ojcem,father
przykład,example
myśleć,think
głupi,stupid
wolno,slow
słyszałeś,you heard
powodzenia,Good luck
rodzina,family
pomoże,will help
kilku,several
uwagę,attention
muszą,they have to
chwila,one sec
jakaś,some
zdjęcie,photo
środka,measure
nowym,new
szefie,boss
odejść,leave
wspólnego,common
musiałem,I had to
sami,themselves
ziemię,earth
dawno,long time ago
będziecie,you will
trzymać,to hold
pracuję,He's working
pewnego,sure
inni,others
gotowi,ready
sześć,six
głowie,head
zabierz,take away
sekund,seconds
zmienić,to change
zabiję,I will kill
czekać,wait
gość,guest
walczyć,fight
chwileczkę,wait a minute
wystarczająco,sufficiently
musicie,you have to
dasz,you will
tysięcy,thousands
pierwsza,first
zadzwonić,call
rady,advice
prawdopodobnie,probably
zostawić,to leave
niestety,Unfortunately
zobacz,Look
nagle,suddenly
wezmę,i'll take
zabawne,funny
żonę,wife
panem,sir
większość,majority
wracam,I'm coming back
joe,joe
wiedziałam,I knew
brata,brother
często,often
powie,he will say
dobrym,good
tyłu,so many
błąd,mistake
boję,I'm afraid
cel,objective
rany,wounds
mówiłam,I told you
wasze,yours
niczym,like
obiecuję,I promise
początku,beginning
historia,history
chciałeś,you wanted
uwaga,Attention
gotowa,ready
zacząć,start
zatem,therefore
tony,tons
istnieje,exists
jednej,one
pokazać,show
nikomu,no one
jakim,what
rodzice,parents
okay,okay
szkole,school
czuje,I feel
los,moose
george,george
david,david
obok,Near
uspokój,calm down
chodźcie,come on
miało,had
całkowicie,entirely
stój,stop
wiadomości,the news
pomyślałem,I thought
nogi,legs
org,org
ulicy,street
matki,mothers
fbi,fbi
jedź,go
wojny,war
ciągu,within
okazji,occasion
zadzwonię,I'll call
około,about
ojcze,father
samym,alone
uważam,I think
miłości,love
mike,Mike
przyszedł,he came
tygodniu,week
prawdziwe,real
zadzwoń,call
widać,can be seen
myśl,thought
pozwolić,to let
słyszę,I hear you
wracać,return
dajcie,come on
historii,history
http,http
zajmę,I'll take care of it
wieku,century
jedynie,only
zamiast,instead
jakiegoś,some
umrzeć,die
wróci,will come back
przyjdzie,will come
łatwo,easy
siostra,sister
oraz,and
prawdziwy,true
czyż,siskin
następny,next
proste,easy
rodzinę,family
uważasz,you think
córka,daughter
piękne,Beautiful
dłużej,longer
mężczyzna,man
przyjacielem,friend
chryste,Christ
niedługo,soon
tyłek,butt
złego,bad
james,James
kupić,to buy
takiej,like this
póki,while
osób,people
powiedziałaś,you said
pytania,questions
niby,kind of
włosy,hair
nienawidzę,I hate it
boli,it hurts
moment,moment
wrócił,he's back
znajdę,I will find it
przysięgam,I swear
stan,condition
strasznie,terrible
potrafię,I can
daje,gives
zrobiła,she did
spokoju,peace
ben,ben
spróbować,try
męża,husband
górze,upstairs
wyboru,choice
szukam,I'm looking for
mówiła,she said
kobietą,woman
dowiedzieć,find out
znaleźliśmy,we found it
żartujesz,you're kidding
and,and
znajdziemy,we will find
bracie,brother
mieszka,lives
najlepiej,best
najlepsze,the best
przyjaciele,friends
kapitan,captain
dziewczyną,girl
wstawaj,get up
dziecka,child
uwielbiam,I love
następnym,next
zła,evil
ludźmi,people
kocha,loves
zatrzymaj,stop
twarzy,face
tygodnie,weeks
ludziom,people
robił,he did
światło,light
jorku,york
milionów,millions
kochasz,you love
zwykle,usually
rozkaz,order
odpowiedź,answer
znalazł,found
niezły,not bad
nigdzie,nowhere
oboje,both
odkąd,since
ponownie,again
same,themselves
walki,fighting
głos,voice
duży,big
uciec,escape
zająć,hare
pewnością,certainly
widzi,sees
szpitala,hospital
mogłeś,you could
bogu,god
samolot,plane
powód,reason
panno,Miss
centrum,center
świetny,great
żony,wives
młody,young
tacy,tray
stoi,stands
wreszcie,at last
hotelu,hotel
wielka,great
zobaczysz,you'll see
mimo,despite
jakiego,what
seks,sex
próbuję,I'm trying
dostaniesz,you will get it
obawiam,I'm afraid
interes,business
ogień,fire
reszta,rest
pasuje,it suits
wasz,yours
niektórzy,some
powinna,should
sen,dream
grać,play
wojna,war
dostał,got
mocy,power
moglibyśmy,we could
potrafi,he can
pamiętaj,Remember
uciekaj,run away
słychać,can be heard
samej,alone
gościa,guest
ból,pain
znaczenia,meanings
kolację,dinner
robotę,job
patrzcie,Look
zrobiłam,I did
stamtąd,from there
uważa,thinks
przestać,stop
każdej,each
zrozumieć,understand
szczerze,Honestly
zabije,will kill
wspaniałe,excellent
powstrzymać,stop
resztę,the rest
fajnie,Cool
łóżka,beds
śmieszne,funny
przyjacielu,friend
pewne,sure
tygodni,weeks
pies,dog
celu,purpose
przyszłość,future
jedzenie,food
twoi,yours
system,system
nieprawda,untruth
poszedł,he went
gotowe,ready
martwy,dead
musieli,they had to
otworzyć,open
pokażę,I'll show you
biura,offices
dzieckiem,child
przyjaciółmi,friends
facetem,guy
mocno,tightly
pytań,questions
zamierzam,I intend to
puść,let go
kobietę,woman
siły,strength
kolejny,next
części,parts
minuty,minutes
ciekawe,Interesting
słyszałam,I heard
jaja,eggs
sprawdź,check
moc,power
chłopcze,boy
dosyć,enough
małą,small
zobaczę,I'll see
żoną,wife
przyjaciela,friend
pewny,sure
ależ,oh
siadaj,sit down
dobrego,good
jadę,I'm going
osobą,person
szef,boss
musiała,she had to
filmu,movie
pójdziesz,you will go
informacje,information
bob,broad bean
lepsze,better
przyjść,come
szansa,chance
niesamowite,incredible
wierzysz,you believe
wspaniały,Excellent
prezent,gift
robicie,you do
hey,hey
jimmy,Jimmy
żebyśmy,so that we
dostałem,I got it
paul,Paul
sporo,a lot
słuchać,to listen
klucz,key
usiądź,sit down
list,letter
wieści,news
miły,nice
policję,the police
zamiar,intention
zrozumiałem,I understood
piękny,beautiful
jedyną,the only one
lepszy,better
kobiet,women
statku,ship
alex,alex
światła,lights
psa,dog
witamy,Welcome
pójdziemy,we'll go
pomogę,I will help
duże,big
mary,Mary
miesiąc,month
szczęśliwy,happy
oko,eye
ładnie,nicely
sensu,sense
całej,whole
więzienia,prison
przygotować,to prepare
podobno,apparently
nową,new
jedyny,only
jakbym,as if
przejść,pass
potrzeba,need
pójdzie,will go
pierwszym,first
coraz,increasingly
drugie,second
miałaś,you had
ktokolwiek,anyone
boisz,you're afraid
skończy,will finish
mnóstwo,plenty
bierz,take it
chcieli,they wanted
trudne,difficult
peter,Peter
nazywasz,you name
szukać,to look for
dole,downstairs
chodziło,it was about
potrafisz,you can
zapytać,ask
spotkamy,we will meet
wiedziałeś,you knew
sytuacji,situation
max,max
poproszę,please
dziesięć,ten
ostatnia,last
załatwić,arrange
poszło,it went
buty,Shoes
podaj,give it
zabiłeś,you killed
zajmie,will take
jazda,ride
zasady,rules
widziałaś,you saw
książki,books
koło,wheel
pozwolę,I will
ostrożnie,carefully
byłby,would be
wielkiego,great
pracujesz,you work
zamknąć,close
znajdź,find
usłyszeć,hear
wybór,choice
bezpieczeństwa,safety
wejdź,come in
gry,games
la,la
słuchajcie,listen
zrobiłaś,you did
prosić,ask
odpowiedzi,answers
dobrą,All right
stara,old
gotów,ready
obiad,Lunch
pięknie,Beautifully
brakuje,is lacking
mowy,speech
jedyne,the only one
zaczął,he started
drugą,the second one
ognia,fire
pomyśl,idea
drinka,drink
własne,own
atak,attack
prezydent,president
prowadzi,leads
cie,you
powoli,slowly
jake,jake
korekta,adjustment
pomiędzy,between
zginął,died
osoby,people
wersji,version
zjeść,eat
martwić,worry
osoba,person
chłopiec,boy
skończyć,end
spoko,Cool
próbował,he tried
mogłam,I could
kraj,country
jakbyś,as if
znak,sign
doskonale,excellent
jedynym,the only one
związek,relationship
wolę,I prefer
znajdzie,will find
komuś,to someone
zrobili,they did
król,king
próbowałem,I tried
pieprzony,fucking
wypadku,accident
jedyna,the only one
generale,General
wolny,free
woda,water
powiedzieli,they said
rodziców,parents
dzieciaki,kids
patrzeć,look
miłe,pleasantly
przyjęcie,adoption
agent,agent
zadanie,task
rodzaju,kind
lewo,left
ach,ah
siedem,seven
wysokość,height
specjalnie,especially
szpitalu,hospital
dane,data
dzieciak,child
zdanie,opinion
me,me
jeść,eat
uratować,save
mózgu,brain
niezła,nice
wiedziała,she knew
piwo,beer
sierżancie,Sergeant
przyszedłem,I came
samochodzie,car
staram,I'm trying
stylu,style
całego,whole
pora,time
kawę,coffee
znajdziesz,you will find
sygnał,signal
gorzej,worse
grupa,group
zniszczyć,destroy
osobiście,personally
kolego,buddy
żyjesz,you are alive
matką,mother
ślub,wedding
miesiące,months
dupę,ass
strzelać,shoot
oddaj,give it back
chory,sick
umarł,died
jakimś,some
wielkim,great
zaczynamy,here we go
Rachel,Rachel
częścią,part
dowód,evidence
program,program
owszem,yes
myślą,they think
rzuć,quit
próbuje,I'm trying
mogło,could
spraw,matters
wychodzi,leaves
chciałbyś,you would like
budynku,building
martwi,dead
niezłe,not bad
kawałek,piece
uh,uh
wiadomo,known
wokół,around
głupie,stupid
pułkowniku,colonel
plany,plans
firmy,companies
naprzód,forward
odejdź,Go away
nauczyć,teach
znamy,we know
historię,history
telefonu,phone
więzieniu,prison
wcześnie,early
jakiej,what
metrów,meters
jedzie,he's going
związku,relationship
wyglądam,I look
danny,Danny
ostatniej,last one
potrzebował,he needed
jim,jim
początek,beginning
najlepszym,the best
zajęty,occupied
książkę,book
każda,each
pierwszej,first
uczucie,feeling
potrzebny,necessary
henry,Henry
odłóż,put it aside
bill,Bill
lekarza,doctor
wyjaśnić,explain
tuż,next door
oprócz,apart from
wśród,among
wielką,great
przyszłości,future
córkę,daughter
złapać,to catch
samą,alone
ilu,how many
wojnę,war
miłego,have a nice one
nieco,little
straszne,horrible
żyją,they are alive
adres,address
druga,second
gości,guests
siedzieć,sit
zdobyć,to win
kate,kate
rząd,government
informacji,information
kawy,coffee
zdaje,it seems
idźcie,go
łóżku,bed
chłopaka,boyfriend
wyprawiasz,you are doing
przysługę,a favor
abyś,you
ruch,movement
damy,ladies
gratulacje,Congratulations
zostanę,I will stay
gliny,cops
biurze,office
prawdziwa,true
zabij,kill
sądzie,court
zamierzasz,you're going to
wierzyć,believe
zapomniałem,I forgot
matkę,mother
zostawił,he left
życiem,life
swego,his own
dziękujemy,thank you
info,info
znalazłeś,you found it
stał,steel
wyjścia,exits
ciąży,pregnancy
osiem,eight
pracował,he worked
chwilkę,wait a minute
byśmy,we would
zimno,Cold
raport,report
leży,lies
godzina,time
kończy,ends
wyjdzie,will come out
wodę,water
imieniu,name
użyć,use
weekend,weekend
nasi,ours
kontakt,contact
san,san
kości,bones
pobliżu,nearby
zostaniesz,you will stay
nick,nickname
chronić,protect
ray,ray
błagam,I'm begging you
świetna,great
zostałem,I stayed
najwyraźniej,apparently
codziennie,every day
poczekać,wait
telewizji,television
usiąść,sit down
morderstwo,murder
zabrał,took it away
chętnie,gladly
pieprzyć,fuck
angeles,angeles
szuka,looking for
zabiłem,I killed
okno,window
różne,different
problemu,problem
własną,own
podać,to give
założę,I will
podróż,trip
dałem,I gave
boską,divine
kolej,rail
laboratorium,laboratory
cudownie,wonderfully
powiedzenia,sayings
mieszkanie,apartment
rozumie,Understands
urodziny,birthday
ochotę,desire
zapomnieć,forget
zespół,team
billy,Billy
króla,king
wrócisz,you will come back
wizja,vision
przynieś,bring it
pierwszą,the first one
spójrzcie,look
święta,holidays
badania,tests
zobaczmy,let's see
świetne,great
wóz,car
USA,USA
dolców,bucks
wrażenie,impression
głowa,head
ślady,traces
siostry,sisters
dawna,long time ago
dumny,proud
widzicie,you see
Johnny,Johnny
komu,to whom
will,Will
najlepszego,the best
lecieć,fly
wysoki,tall
przestańcie,stop it
Chris,Chris
linii,lines
niewiele,few
bobby,bobby
mogłabym,I could
latach,years
umiesz,you can
fakt,fact
wyszedł,he left
śniadanie,breakfast
poruczniku,Lieutenant
jedzenia,eating
mogłabyś,you could
odbiór,reception
liczy,counts
bliżej,closer
odebrać,to pick up
innymi,others
wynoś,out
przeciw,against
karty,cards
eddie,Eddie
oddać,to give back
mistrzu,master
zróbmy,let's do it
wydostać,get out
znalazłam,I found it
spojrzeć,look
znaleźli,found
szukasz,you are looking for
dave,dave
szczęścia,happiness
pański,your
czekam,I'm waiting
pistolet,gun
synem,son
wiary,faith
opuścić,leave
obraz,picture
straciłem,I lost it
lekarz,doctor
dostanę,I'll get it
wziął,he took it
zgadzam,I agree
zaufaj,trust
chodzić,go
szczęśliwa,happy
miałbym,I would
mówiłaś,you said
możliwości,possibilities
przyjemność,pleasure
wow,wow
rana,wound
przyznać,admit
każdą,each
dala,away
wybaczyć,forgive
siedzi,sits
ofiary,victims
słońce,sun
sytuacja,situation
twierdzi,claims
dowody,evidence
wyjście,Exit
przede,first of all
chciałby,would like to
faceci,guys
otwarte,Open
yeah,yeah
zapłacić,pay
młoda,young
czarny,black
tysiące,thousands
spodoba,like it
ładna,pretty
zwłaszcza,especially
de,de
obaj,both
zgodnie,according
brać,to take
zeszłym,last
udział,participation
mecz,game
zostaje,stays
kuchni,kitchen
nowych,new ones
zabawy,fun
dostanie,will get
banku,bank
subedit,subedit
trzyma,holds
jane,Jane
jasna,sure
mężczyzn,men
zgoda,agreement
drugim,the second
nikim,nobody
kochać,love
juz,Already
mówimy,we say
nr,no
dwoje,two
córki,daughters
pozbyć,get rid of
małego,little one
stare,old
krok,step
kasę,money
pierwszego,the first one
dna,gout
żegnaj,goodbye
umiem,I can
kod,code
dzwonił,he called
lee,lee
zabawa,game
dziwnie,strangely
przychodzi,comes
szefem,boss
uciekać,run away
listy,lists
bank,bank
wyjdź,leave
biuro,office
zacznie,will start
myślałeś,you thought
wobec,to
głodny,hungry
niebezpieczne,dangerous
rodziną,family
moimi,mine
okej,okay
akcji,shares
panna,Virgin
pobrane,downloaded
teren,area
towar,commodity
rozkazy,orders
kazał,he ordered
łódź,Łódź
Sarah,Sarah
głupia,stupid
Tommy,Tommy
ostatnim,the last one
kolejne,next
dziewczynka,girl
dupy,asses
prezydenta,president
powinni,they should
mózg,brain
powietrze,air
naprawić,to fix
umrze,he will die
poziom,level
lunch,lunch
ładne,nice
muzyka,music
pierdol,fuck
inną,another one
biały,white
kierunku,direction
akurat,exactly
biorę,I take it
wraca,comes back
żart,joke
nazwiska,names
poradzę,I can handle it
ataku,attack
wyglądają,they look
dotykaj,touch
zdrowie,health
zbrodni,crimes
idą,they're coming
Richard,Richard
mil,miles
słów,words
szalony,crazy
rzeczywiście,actually
prawdy,truth
niespodzianka,surprise
rozmawiałem,I talked
działać,work
km,km
widok,view
przodu,front
szukamy,we are looking
mężczyzną,man
dobrej,good
of,of
dziękuje,Thank you
usta,mouth
grę,game
ostatnią,the last one
wrócimy,we will come back
rodzinie,family
ochrony,protection
spadaj,get lost
daję,I give
wewnątrz,inside
ej,hey
Claire,Claire
pięciu,five
rozmawialiśmy,we talked
pomożesz,you will help
test,test
słońca,sun
xvid,xvid
uwagi,comments
Andy,Andy
zmieni,will change
pomyślałam,I thought
przyszła,she came
strach,fear
zrobiliśmy,we did
rozmowę,conversation
liście,leaves
lekarzem,doctor
forsę,money
in,incl
wracamy,we're coming back
bronią,weapons
zaczęło,it started
wsiadaj,get in
dupek,asshole
sprawia,makes
it,etc
interesuje,interested
stracić,lose
powiedzmy,let's say
chłopca,boy
szkodzi,it's harmful
potrzebne,necessary
zmienia,changes
pociąg,train
państwo,country
dniu,day
przypadek,case
zaczynam,I'm starting
najlepsza,the best
skończyłem,I'm done
odzyskać,to regain
czuć,feel
milion,million
problemów,problems
rękach,hands
poszła,she went
wspaniała,wonderful
umiera,dies
zamknięte,Closed
myślicie,you think
ładny,pretty
alarm,alarm
żył,lived
rodzaj,type
znaczyć,mean
wysłać,send
momencie,moment
pory,pores
przypadku,case
wybrać,to choose
wynocha,get out
własnej,own
iż,that
rozmowy,conversations
abym,so that
operacji,surgery
jedziesz,you're going
gadać,talk
jakość,quality
kotku,baby
dupku,asshole
